,ols,ols__decile,ols__neutral,ols__neutral__decile,ridge,ridge__decile,ridge__neutral,ridge__neutral__decile,gbm,gbm__decile,gbm__neutral,gbm__neutral__decile,composite,composite__decile,composite__neutral,composite__neutral__decile
days,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515
first_date,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03
last_date,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29
net_return_20bp_annualised_return,-0.0252777630985236,-0.04096632421225611,-0.026407209832834646,-0.037006852834268314,-0.025248448139939695,-0.04096692373212009,-0.02638656041780863,-0.0369881824600053,-0.022394373192353937,-0.02342216314075201,-0.02535167534404065,-0.028940319285655578,-0.0024326449686434028,-0.006460161316589174,-0.011682806260735248,-0.01209482474185527
net_return_20bp_annualised_volatility,0.07255832023798404,0.11023504656299252,0.03253297050104961,0.05231251305167035,0.07259371938329529,0.11026191917522697,0.032522173978036806,0.05229101419004475,0.03428166825828105,0.06185157273298547,0.021555954422403392,0.032448290644585646,0.08279792450718068,0.11456894279035101,0.04116472767615202,0.058456284051339374
net_return_20bp_sharpe,-0.34837855969673864,-0.3716270413951011,-0.8117060762091389,-0.7074187546240752,-0.34780485632135383,-0.37154190711133855,-0.8113406082763184,-0.7073525544097627,-0.6532463071409711,-0.37868338840575616,-1.1760868875141208,-0.891890411197503,-0.02938050661441919,-0.05638667128499722,-0.283806232186092,-0.20690375616816425
net_return_20bp_hit_rate,0.48031809145129223,0.48389662027833,0.45606361829025843,0.45487077534791254,0.48071570576540756,0.4842942345924453,0.45646123260437377,0.4552683896620278,0.4747514910536779,0.4827037773359841,0.4469184890656064,0.47514910536779326,0.521272365805169,0.5172962226640159,0.5117296222664016,0.5168986083499006
net_return_20bp_max_drawdown,-0.3413550746825119,-0.4851108580992334,-0.24961121955563648,-0.3668843193213708,-0.34138959581335615,-0.4849987664176578,-0.24948283413473815,-0.3671175794042931,-0.22142026204960075,-0.2840152237369139,-0.23528496487858286,-0.27583913442198615,-0.2484184024839995,-0.3577459751702463,-0.13487241077756063,-0.2036875404010885
net_return_20bp_market_beta,-0.22215287720142124,-0.32966793641212166,-0.05442588249132621,-0.07478446084527306,-0.22226867796886762,-0.32989780097177984,-0.054420925619465654,-0.0747591741825996,-0.07343379459276834,-0.13584336050101473,0.019933738062791997,-0.005508643225309523,-0.1885978338942628,-0.2704920112878549,-0.04125523509251957,-0.05568282311222628
gross_return_hac_t,0.040240100976074535,-0.020011072114124936,0.23740948902866738,0.32136795986545574,0.0415245442176178,-0.019995618920616163,0.23964764163342744,0.322104874568761,0.5699971504659622,0.988909438397869,0.3864411255011705,1.1215860522183627,0.9582182055146305,0.9597276029309048,1.1216567496947165,1.4843107836291285
exposure_mom_120_20,0.006434396826559995,0.0015206004512869312,-0.010696285457076,-0.015519406394229836,0.006521244202890646,0.0016174450423155236,-0.010623734921824921,-0.015423729168925477,-0.05125777038805996,-0.00030541108570879505,-0.052481676772291964,-0.010256073728007884,0.23143328773547048,0.3029229217023993,0.21109632706345027,0.29576054268694135
exposure_rev_5,0.01204125800934508,0.019526661772630818,0.013808207011371325,0.02023816333448683,0.012033572198287008,0.019532347163132183,0.01380415049671564,0.020225475990378192,0.005966378274711014,0.005049962250850444,0.005691028839051512,0.005863796245454242,0.0045497584382562335,0.008349563746191582,0.005013389650800036,0.008942154739607602
exposure_rvol_20,-0.200445671342571,-0.2840023732683534,-0.10359408966196176,-0.15160846243978068,-0.2005620337598194,-0.2841265342072148,-0.10369294428061025,-0.15176205290974487,-0.08654477596623283,-0.11887722822776305,-0.00627036381623764,-0.030334256310018612,-0.14821739443598395,-0.20820183259313865,-0.058802107284915944,-0.08752260020653004
exposure_vs_20,0.0327030711315751,0.04793558341827036,0.024991920160768216,0.03863603445463005,0.03273867515256503,0.04797847210618291,0.025033854535144857,0.03869240652768277,0.018640904281012755,0.027541226310350903,0.008550793497334518,0.018381543068672908,0.026086041123488158,0.03673768057735174,0.016064511912350764,0.02563041643499246
exposure_rmom_120_20,0.006053765285071369,0.007342666502735249,0.000587214316856257,0.005279065447823114,0.005892728135926752,0.007027484855480561,0.0004054125387898421,0.0049304422997991735,-0.03484064874639522,-0.0037428897842519417,-0.029649332217544237,0.0008934542918520854,0.18730461422119452,0.25177663128998595,0.18022102085936223,0.25621718935834936
exposure_dd_252,0.12028982933724756,0.17701140791464356,0.055851549509325166,0.08531982243379276,0.12030903773928601,0.1769774736461261,0.05583704036463452,0.08527264136255573,0.016031003521971194,0.0660957948385074,-0.029652684270888224,0.00901980580560387,0.20681881670964525,0.26928908403033147,0.14341487165528588,0.20113018525674606
exposure_beta_252,-0.14000425422826543,-0.20270156982975918,-0.012303361812747726,-0.0016234580179871544,-0.14006921060857683,-0.20276746485256594,-0.01232871381747359,-0.0016525920560068184,-0.053073247622036676,-0.07842248247393281,0.026285570552293736,0.020158869536308667,-0.10074895561377724,-0.1416195301319316,-0.00645735887285327,0.003467780369453029
exposure_log_mcap,0.11825552280764007,0.17248996464353014,0.0011018148419855028,-0.0017138585386071966,0.11832831858720841,0.17257406715326193,0.0011255703978819281,-0.0017386553953866928,0.05360055723160812,0.07992344731684772,-0.05624682310678465,-0.03670307158168392,0.10198069061353594,0.1414834159443256,0.0013885471598366421,-0.0028498061286540174
exposure_sector,0.2170400003016485,0.3125849533500084,0.026719168268315652,0.06712051751998291,0.21713855532501342,0.3127566761408902,0.026711706185188804,0.0671566020456206,0.14996036367456936,0.18997599281697541,0.08602141081317305,0.11549946618603549,0.21140764965461611,0.2790873700202863,0.03202830518990293,0.0808687375367158
