,mom_120_20,rev_5,rvol_20,vs_20,rmom_120_20,dd_252,composite,mom_120_20__decile,rev_5__decile,rvol_20__decile,vs_20__decile,rmom_120_20__decile,dd_252__decile,composite__decile
signal,signal_mom_120_20,signal_rev_5,signal_rvol_20,signal_vs_20,signal_rmom_120_20,signal_dd_252,signal_composite,decile_mom_120_20,decile_rev_5,decile_rvol_20,decile_vs_20,decile_rmom_120_20,decile_dd_252,decile_composite
days,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508
first_date,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02
last_date,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29
net_return_10bp_hit_rate,0.520851818988465,0.4660603371783496,0.49157054125998223,0.45164152617568765,0.5066548358473825,0.518189884649512,0.5241792369121562,0.5166370896184561,0.4764862466725821,0.4877994676131322,0.4696095829636202,0.5053238686779059,0.521960958296362,0.5201863354037267
net_return_10bp_max_drawdown,-0.36388406775688287,-0.15642580246481053,-0.4517317011349081,-0.23687448738059314,-0.27488324203692904,-0.48540511511528317,-0.37307220333208657,-0.32828960797253814,-0.09647600770969933,-0.3962134709166685,-0.17178530568460537,-0.24701347595744672,-0.43768071706721956,-0.4849790854618793
net_return_10bp_market_beta,-0.11144898951401058,0.04683481850626141,-0.3396062281681312,0.0035362901973832166,-0.05605009658325855,-0.2792160911698514,-0.22539756258572938,-0.13426116016340564,-0.00388853063860758,-0.26695034924956323,0.005880902442463347,-0.08415949469008688,-0.23339215179550704,-0.31471896315827397
net_return_20bp_annualised_return,-0.016666140913852892,-0.023337852218621516,-0.012414553170099827,-0.030534048393364314,-0.02055483851798046,-0.012665702540354913,-0.01277766736315585,-0.011580366455238663,-0.01763336561678319,-0.015346529275423038,-0.02030540874506253,-0.01614527506308688,-0.009783399611327221,-0.016384085645845797
net_return_20bp_annualised_volatility,0.07693640011824203,0.0340264886786338,0.09880305331595465,0.013328395530088218,0.04922226259315567,0.09745448748388835,0.08218479222028911,0.0680411820336639,0.026240950805957387,0.07397805926303908,0.013381500551672436,0.04380280590398438,0.08489039590641809,0.11344091673671698
net_return_20bp_sharpe,-0.21662231256257156,-0.6858730690385934,-0.1256494890942316,-2.29090203126364,-0.4175923136218976,-0.12996530860058003,-0.15547483929759703,-0.17019643264735154,-0.6719789136901225,-0.20744703805835676,-1.5174238992595444,-0.3685899734020984,-0.11524742589388201,-0.14442836074633753
net_return_20bp_hit_rate,0.5159716060337178,0.4387755102040816,0.4880212954747116,0.4035048802129547,0.4968944099378882,0.5137533274179237,0.515527950310559,0.5108695652173914,0.45652173913043476,0.481810115350488,0.42812777284826975,0.4975598935226264,0.5197426796805679,0.514418811002662
net_return_20bp_max_drawdown,-0.4203022242332902,-0.34934248741195206,-0.5159620110816809,-0.42263096235451936,-0.35110603256718165,-0.5305256505986349,-0.4538417717098825,-0.37978929546906404,-0.2756423055129621,-0.4579382942839626,-0.32419328468448716,-0.31051301911459805,-0.4737403753137054,-0.5789357316549972
net_return_20bp_market_beta,-0.11145315958565791,0.04683070390020851,-0.3396031150412502,0.003535572203241253,-0.056054250511903964,-0.27921225775849284,-0.22540305258955437,-0.1342671823268036,-0.003891957250547559,-0.2669474441531858,0.0058832221837777495,-0.08416257577199855,-0.2333929761476415,-0.3147216581035115
exposure_mom_120_20,0.6040516652959489,-0.02315922200804248,0.08111256215627412,0.014609543316548406,0.44648302400011963,0.42684046542948445,0.5083859942271552,0.4730877548960826,-0.006468003284951235,0.06033659825460749,0.015453621739574935,0.3476165040519758,0.3512846976964966,0.6743746011999964
